template,count,percentage,samples,suggested,confidence,label,notes
Diagnostics report from attempt_<*>: Container killed by the ApplicationMaster.,1,0.05,"[""Diagnostics report from attempt_1445144423722_0020_m_000003_0: Container killed by the ApplicationMaster.""]",6,high,6,Auto-labeled (high confidence)
We launched <*> speculations.  Sleeping <*> milliseconds.,1,0.05,"[""We launched 1 speculations.  Sleeping 15000 milliseconds.""]",1,high,1,Auto-labeled (high confidence)
Scheduling a redundant attempt for task task_<*>,1,0.05,"[""Scheduling a redundant attempt for task task_1445144423722_0020_m_000000""]",1,high,1,Auto-labeled (high confidence)
DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_<*>,1,0.05,"[""DefaultSpeculator.addSpeculativeAttempt -- we are speculating task_1445144423722_0020_m_000000""]",6,high,6,Auto-labeled (high confidence)
All maps assigned. Ramping up all remaining reduces:<*>,1,0.05,"[""All maps assigned. Ramping up all remaining reduces:1""]",1,high,1,Auto-labeled (high confidence)
Num completed Tasks: <*>,1,0.05,"[""Num completed Tasks: 1""]",2,high,2,Auto-labeled (high confidence)
Reduce slow start threshold reached. Scheduling reduces.,1,0.05,"[""Reduce slow start threshold reached. Scheduling reduces.""]",0,high,0,Auto-labeled (high confidence)
attempt_<*> TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED,1,0.05,"[""attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from SUCCESS_CONTAINER_CLEANUP to SUCCEEDED""]",0,high,0,Auto-labeled (high confidence)
attempt_<*> TaskAttempt Transitioned from RUNNING to SUCCESS_CONTAINER_CLEANUP,1,0.05,"[""attempt_1445144423722_0020_m_000003_0 TaskAttempt Transitioned from RUNNING to SUCCESS_CONTAINER_CLEANUP""]",0,high,0,Auto-labeled (high confidence)
task_<*> Task Transitioned from RUNNING to SUCCEEDED,1,0.05,"[""task_1445144423722_0020_m_000003 Task Transitioned from RUNNING to SUCCEEDED""]",0,high,0,Auto-labeled (high confidence)
DataStreamer Exception,1,0.05,"[""DataStreamer Exception""]",0,high,0,Auto-labeled (high confidence)
"Error Recovery for block BP-<*>:blk_<*> in pipeline <*>:<*>, <*>:<*>: bad datanode <*>:<*>",1,0.05,"[""Error Recovery for block BP-1347369012-10.190.173.170-1444972147527:blk_1073743512_2731 in pipeline 10.86.169.121:50010, 10.190.173.170:50010: bad datanode 10.190.173.170:50010""]",0,high,0,Auto-labeled (high confidence)
DFSOutputStream ResponseProcessor exception  for block BP-<*>:blk_<*>,1,0.05,"[""DFSOutputStream ResponseProcessor exception  for block BP-1347369012-10.190.173.170-1444972147527:blk_1073743512_2731""]",0,high,0,Auto-labeled (high confidence)
"Thread Thread[eventHandlingThread,<*>,main] threw an Exception.",1,0.05,"[""Thread Thread[eventHandlingThread,5,main] threw an Exception.""]",0,high,0,Auto-labeled (high confidence)
Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@<*>,1,0.05,"[""Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@7317849d""]",1,high,1,Auto-labeled (high confidence)
