template,count,percentage,samples,suggested,confidence,label,notes
disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3,0.15,"[""disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >"", ""disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >"", ""disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >""]",0,high,0,Auto-labeled (high confidence)
handleTimeUpdate,3,0.15,"[""handleTimeUpdate"", ""handleTimeUpdate"", ""handleTimeUpdate""]",0,medium,0,
disable: < expand icons* alerts system_info* back home recent clock navigationbar search quick_settings >,3,0.15,"[""disable: < expand icons* alerts system_info* back home recent clock navigationbar search quick_settings >"", ""disable: < expand icons* alerts system_info* back home recent clock navigationbar search quick_settings >"", ""disable: < expand icons* alerts system_info* back home recent clock navigationbar search quick_settings >""]",0,high,0,Auto-labeled (high confidence)
START u0 {act=<*> cat=[<*>] flg=<*> cmp=<*> bnds=<*>} from uid <*> on display <*>,2,0.1,"[""START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.example.android.notepad/.NotePadActivity bnds=[8,820][184,1011]} from uid 10057 on display 0"", ""START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10200000 cmp=com.tencent.mobileqq/.activity.SplashActivity bnds=[360,820][536,1011]} from uid 10057 on display 0""]",0,high,0,Auto-labeled (high confidence)
visible is <*> gt <*>,2,0.1,"[""visible is system.call.count gt 0"", ""visible is system.message.count gt 0""]",0,high,0,Auto-labeled (high confidence)
remove(PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}) changed bounds; rebatching,2,0.1,"[""remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching"", ""remove(PendingIntent{e4e2534: PendingIntentRecord{e204f60 com.android.phone broadcastIntent}}) changed bounds; rebatching""]",0,high,0,Auto-labeled (high confidence)
"onInterceptTouchEvent MotionEvent { action=ACTION_DOWN, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=false",2,0.1,"[""onInterceptTouchEvent MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=317.0, y[0]=419.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=261851646, downTime=261851646, deviceId=3, source=0x1002 }, mBlockTouches=false"", ""onInterceptTouchEvent MotionEvent { action=ACTION_DOWN, actionButton=0, id[0]=0, x[0]=622.0, y[0]=86.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=261991304, downTime=261991304, deviceId=3, source=0x1002 }, mBlockTouches=false""]",0,high,0,Auto-labeled (high confidence)
"animateCollapsePanels:flags=<*>, force=true, delayed=true, mExpandedVisible=true",2,0.1,"[""animateCollapsePanels:flags=2, force=true, delayed=true, mExpandedVisible=true"", ""animateCollapsePanels:flags=2, force=true, delayed=true, mExpandedVisible=true""]",0,high,0,Auto-labeled (high confidence)
"updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?false",2,0.1,"[""updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?false"", ""updateLightsLocked,mInCall =false,mScreenOn = true,ledNotification == null?false""]",0,high,0,Auto-labeled (high confidence)
addNotification key=<*>|<*>|<*>|null|<*>,2,0.1,"[""addNotification key=0|com.tencent.mobileqq|121|null|10111"", ""addNotification key=0|com.tencent.mm|4097|null|10112""]",0,high,0,Auto-labeled (high confidence)
enqueueNotificationInternal: n.getKey = <*>,2,0.1,"[""enqueueNotificationInternal: n.getKey = 0|com.tencent.mobileqq|121|null|10111"", ""enqueueNotificationInternal: n.getKey = 0|com.tencent.mm|4097|null|10112""]",0,high,0,Auto-labeled (high confidence)
onNotificationClick called,2,0.1,"[""onNotificationClick called"", ""onNotificationClick called""]",0,high,0,Auto-labeled (high confidence)
getRingtonePlayer...,2,0.1,"[""getRingtonePlayer..."", ""getRingtonePlayer...""]",0,medium,0,
onExpandingStarted,2,0.1,"[""onExpandingStarted"", ""onExpandingStarted""]",0,medium,0,
cancelNotificationLocked:<*>|<*>|<*>|null|<*>,2,0.1,"[""cancelNotificationLocked:0|com.tencent.mobileqq|121|null|10111"", ""cancelNotificationLocked:0|com.tencent.mobileqq|121|null|10111""]",0,high,0,Auto-labeled (high confidence)
"cancelNotificationLocked called,tell the app,reason = <*>",2,0.1,"[""cancelNotificationLocked called,tell the app,reason = 1"", ""cancelNotificationLocked called,tell the app,reason = 8""]",0,high,0,Auto-labeled (high confidence)
"onTouchEvent::<*>, x=<*>.<*>, y=<*>.<*>",2,0.1,"[""onTouchEvent::0, x=271.0, y=14.0"", ""onTouchEvent::1, x=296.0, y=327.0""]",0,high,0,Auto-labeled (high confidence)
onExpandingFinished,2,0.1,"[""onExpandingFinished"", ""onExpandingFinished""]",0,medium,0,
Sending non-protected broadcast <*> from system <*>:<*> pkg <*>,2,0.1,"[""Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system 2227:com.android.systemui/u0a37 pkg com.android.systemui"", ""Sending non-protected broadcast com.android.systemui.statusbar.visible.change from system 2227:com.android.systemui/u0a37 pkg com.android.systemui""]",0,high,0,Auto-labeled (high confidence)
"onInterceptTouchEvent MotionEvent { action=ACTION_UP, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>.<*>, y[<*>]=<*>.<*>, toolType[<*>]=TOOL_TYPE_FINGER, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=false",2,0.1,"[""onInterceptTouchEvent MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=317.0, y[0]=419.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=261851713, downTime=261851646, deviceId=3, source=0x1002 }, mBlockTouches=false"", ""onInterceptTouchEvent MotionEvent { action=ACTION_UP, actionButton=0, id[0]=0, x[0]=622.0, y[0]=86.0, toolType[0]=TOOL_TYPE_FINGER, buttonState=0, metaState=0, flags=0x0, edgeFlags=0x0, pointerCount=1, historySize=0, eventTime=261991368, downTime=261991304, deviceId=3, source=0x1002 }, mBlockTouches=false""]",0,high,0,Auto-labeled (high confidence)
"cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>",2,0.1,"[""cancelNotification,cancelNotificationLocked,callingUid = 10037,callingPid = 2227"", ""cancelNotification,cancelNotificationLocked,callingUid = 10111,callingPid = 28601""]",0,high,0,Auto-labeled (high confidence)
applyOptionsLocked: Unknown animationType=<*>,2,0.1,"[""applyOptionsLocked: Unknown animationType=0"", ""applyOptionsLocked: Unknown animationType=0""]",0,high,5,Auto-labeled (high confidence)
onNotificationExpansionChanged called,2,0.1,"[""onNotificationExpansionChanged called"", ""onNotificationExpansionChanged called""]",0,high,0,Auto-labeled (high confidence)
setWiredDeviceConnectionState  type: <*>  state: <*>,2,0.1,"[""setWiredDeviceConnectionState  type: -2147483632  state: 0"", ""setWiredDeviceConnectionState  type: 4  state: 0""]",0,high,0,Auto-labeled (high confidence)
"sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}},repeatInterval = <*>,listenerTag =null",2,0.1,"[""sending alarm Alarm{19069ff type 3 when 509169377 PendingIntent{50303cc: PendingIntentRecord{e204f60 com.android.phone broadcastIntent}}},repeatInterval = 0,listenerTag =null"", ""sending alarm Alarm{2741459 type 3 when 509267844 PendingIntent{f75f81e: PendingIntentRecord{e204f60 com.android.phone broadcastIntent}}},repeatInterval = 0,listenerTag =null""]",0,high,0,Auto-labeled (high confidence)
RefreshBatteryInfo isBatteryLow: <*>,2,0.1,"[""RefreshBatteryInfo isBatteryLow: 23"", ""RefreshBatteryInfo isBatteryLow: 23""]",0,high,0,Auto-labeled (high confidence)
getDevicesForStream  streamType: <*>,2,0.1,"[""getDevicesForStream  streamType: 3"", ""getDevicesForStream  streamType: 3""]",0,high,0,Auto-labeled (high confidence)
"cancelNotificationLocked,remove =<*>",2,0.1,"[""cancelNotificationLocked,remove =com.tencent.mobileqq"", ""cancelNotificationLocked,remove =com.tencent.mobileqq""]",0,high,0,Auto-labeled (high confidence)
Marking notification as seen <*>|<*>|<*>|null|<*>,2,0.1,"[""Marking notification as seen 0|com.tencent.mobileqq|121|null|10111"", ""Marking notification as seen 0|com.tencent.mm|4097|null|10112""]",0,high,0,Auto-labeled (high confidence)
"ACTIVITY check resid: <*>, size=<*>",2,0.1,"[""ACTIVITY check resid: com.example.android.notepad, size=0"", ""ACTIVITY check resid: com.example.android.notepad, size=1""]",0,high,0,Auto-labeled (high confidence)
removeNotification:<*>|<*>|<*>|null|<*>,2,0.1,"[""removeNotification:0|com.tencent.mobileqq|121|null|10111"", ""removeNotification:0|com.tencent.mobileqq|121|null|10111""]",0,high,0,Auto-labeled (high confidence)
"orientation change is complete, call stopFreezingDisplayLocked",1,0.05,"[""orientation change is complete, call stopFreezingDisplayLocked""]",0,high,0,Auto-labeled (high confidence)
Bad activity token: <*>@<*>,1,0.05,"[""Bad activity token: android.os.BinderProxy@2bd79ce""]",0,high,0,Auto-labeled (high confidence)
startAnimation begin,1,0.05,"[""startAnimation begin""]",0,high,0,Auto-labeled (high confidence)
Screen frozen for <*> due to Window{<*> u0 <*>.<*>},1,0.05,"[""Screen frozen for +1s0ms due to Window{ca98d5 u0 com.tencent.qt.qtl/com.tencent.qt.qtl.activity.info.NewsDetailXmlActivity}""]",0,high,0,Auto-labeled (high confidence)
"printFreezingDisplayLogsopening app wtoken = AppWindowToken{<*> token=Token{<*> ActivityRecord{<*> u0 <*>/.<*> t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",1,0.05,"[""printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false""]",0,high,0,Auto-labeled (high confidence)
startAnimation end,1,0.05,"[""startAnimation end""]",1,high,1,Auto-labeled (high confidence)
*** register callback for <*>@<*>,1,0.05,"[""*** register callback for com.android.systemui.statusbar.policy.KeyguardMonitor@712d093""]",0,high,0,Auto-labeled (high confidence)
*** unregister callback for <*>@<*>,1,0.05,"[""*** unregister callback for com.android.systemui.statusbar.policy.KeyguardMonitor@712d093""]",0,high,0,Auto-labeled (high confidence)
START u0 {act=<*> flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>,1,0.05,"[""START u0 {act=com.tencent.mobileqq.action.MAINACTIVITY flg=0x14000000 cmp=com.tencent.mobileqq/.activity.SplashActivity (has extras)} from uid 10111 on display 0""]",0,high,0,Auto-labeled (high confidence)
"flingToHeight: vel=<*>.<*>, expand=false, target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false",1,0.05,"[""flingToHeight: vel=0.0, expand=false, target=0.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false""]",0,high,0,Auto-labeled (high confidence)
"animateCollapsePanels:flags=<*>, force=false, delayed=false, mExpandedVisible=true",1,0.05,"[""animateCollapsePanels:flags=0, force=false, delayed=false, mExpandedVisible=true""]",0,high,0,Auto-labeled (high confidence)
[PhoneIntfMgr] getDataEnabled: subId=<*> retVal=true,1,0.05,"[""[PhoneIntfMgr] getDataEnabled: subId=1 retVal=true""]",0,high,0,Auto-labeled (high confidence)
[PhoneIntfMgr] getDataEnabled: subId=<*> phoneId=<*>,1,0.05,"[""[PhoneIntfMgr] getDataEnabled: subId=1 phoneId=1""]",0,high,0,Auto-labeled (high confidence)
schedulePeek,1,0.05,"[""schedulePeek""]",0,medium,0,
<*>: <*> cannot be cast to <*>$Token,1,0.05,"[""java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token""]",0,high,2,Auto-labeled (high confidence)
onTrackingStopped: true,1,0.05,"[""onTrackingStopped: true""]",0,high,0,Auto-labeled (high confidence)
"flingToHeight: vel=<*>.<*>, expand=true, target=<*>.<*>, collapseSpeedUpFactor=<*>.<*>, expandBecauseOfFalsing=false",1,0.05,"[""flingToHeight: vel=2849.079, expand=true, target=553.0, collapseSpeedUpFactor=1.0, expandBecauseOfFalsing=false""]",0,high,0,Auto-labeled (high confidence)
onTrackingStarted,1,0.05,"[""onTrackingStarted""]",0,medium,0,
isSimPinSecure mSimDatas is null or empty,1,0.05,"[""isSimPinSecure mSimDatas is null or empty""]",0,high,1,Auto-labeled (high confidence)
*** unregister callback for null,1,0.05,"[""*** unregister callback for null""]",0,high,5,Auto-labeled (high confidence)
setSpeakerphoneOn on:true,1,0.05,"[""setSpeakerphoneOn on:true""]",0,high,0,Auto-labeled (high confidence)
getMode...,1,0.05,"[""getMode...""]",0,medium,0,
setSpeakerphoneOn  on: true,1,0.05,"[""setSpeakerphoneOn  on: true""]",0,high,0,Auto-labeled (high confidence)
Start proc <*>:<*>:qzone<*> for service <*>.<*>,1,0.05,"[""Start proc 13003:com.tencent.mobileqq:qzone/u0a111 for service com.tencent.mobileqq/cooperation.qzone.remote.logic.QzoneWebPluginProxyService""]",0,high,0,Auto-labeled (high confidence)
"new Process app=ProcessRecord{<*> <*>:<*>:qzone<*>}, name: <*>:qzone, euid: <*>",1,0.05,"[""new Process app=ProcessRecord{6eaaf00 0:com.tencent.mobileqq:qzone/u0a111}, name: com.tencent.mobileqq:qzone, euid: 0""]",0,high,0,Auto-labeled (high confidence)
Scheduling restart of crashed service <*>.<*> in <*>,1,0.05,"[""Scheduling restart of crashed service com.tencent.mobileqq/cooperation.qzone.remote.logic.QzoneWebPluginProxyService in 1000ms""]",0,high,0,Auto-labeled (high confidence)
Process <*>:qzone (pid <*>) has died,1,0.05,"[""Process com.tencent.mobileqq:qzone (pid 12236) has died""]",0,high,0,Auto-labeled (high confidence)
Pid:<*> MediaPlayer destructor,1,0.05,"[""Pid:28601 MediaPlayer destructor""]",0,high,0,Auto-labeled (high confidence)
"[HSM] stayAwake false uid: <*>, pid: <*>",1,0.05,"[""[HSM] stayAwake false uid: 10111, pid: 28601""]",0,high,0,Auto-labeled (high confidence)
abandonAudioFocus,1,0.05,"[""abandonAudioFocus""]",0,medium,0,
unregisterAudioFocusListener...,1,0.05,"[""unregisterAudioFocusListener...""]",0,medium,0,
Unable to start service Intent { act=<*> cmp=<*>.<*> } U=<*>: not found,1,0.05,"[""Unable to start service Intent { act=com.tencent.android.tpush.action.keepalive cmp=com.qqgame.hlddz/com.tencent.android.tpush.service.XGPushService } U=0: not found""]",0,high,2,Auto-labeled (high confidence)
Killing <*>:<*><*> (adj <*>): empty for <*>,1,0.05,"[""Killing 23484:com.android.calendar/u0a13 (adj 906): empty for 1810s""]",0,high,3,Auto-labeled (high confidence)
"Start dump, calling from : pid=<*>, uid=<*>",1,0.05,"[""Start dump, calling from : pid=12782, uid=1000""]",0,high,0,Auto-labeled (high confidence)
isBluetoothScoOn...,1,0.05,"[""isBluetoothScoOn...""]",0,medium,0,
isBluetoothA2dpOn...,1,0.05,"[""isBluetoothA2dpOn...""]",0,high,0,Auto-labeled (high confidence)
enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=null vibrate=[<*>] sound=null tick defaults=<*> flags=<*> color=<*> vis=PRIVATE),1,0.05,"[""enqueueNotificationInternal: pkg=com.tencent.mobileqq id=121 notification=Notification(pri=1 contentView=null vibrate=[100] sound=null tick defaults=0x0 flags=0x11 color=0x00000000 vis=PRIVATE)""]",0,high,0,Auto-labeled (high confidence)
isWiredHeadsetOn...,1,0.05,"[""isWiredHeadsetOn...""]",0,medium,0,
getCellLocation is blocked by permission manager uid:<*> pid:<*>,1,0.05,"[""getCellLocation is blocked by permission manager uid:10111 pid:28601""]",0,high,1,Auto-labeled (high confidence)
"setDataSource(<*>, <*>, <*>)",1,0.05,"[""setDataSource(166, 0, 576460752303423487)""]",0,high,0,Auto-labeled (high confidence)
getStreamVolume  treamType: <*>,1,0.05,"[""getStreamVolume  treamType: 5""]",0,high,0,Auto-labeled (high confidence)
ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>,1,0.05,"[""ACTION_BATTERY_CHANGED AMP: 0; Volt: 0""]",0,high,0,Auto-labeled (high confidence)
"updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>",1,0.05,"[""updateIsPoweredLocked: wasPowered=false, mIsPowered=false, oldPlugType=0, mPlugType=0, mBatteryLevel=23""]",0,high,0,Auto-labeled (high confidence)
"onReceive, action:<*>",1,0.05,"[""onReceive, action:android.intent.action.BATTERY_CHANGED""]",6,high,6,Auto-labeled (high confidence)
ACTION_BATTERY_CHANGED pluggedType: <*>,1,0.05,"[""ACTION_BATTERY_CHANGED pluggedType: 0""]",0,high,0,Auto-labeled (high confidence)
ApStaDisabledState what=<*>,1,0.05,"[""ApStaDisabledState what=155652""]",0,high,0,Auto-labeled (high confidence)
updateChargingLocked: charging=false,1,0.05,"[""updateChargingLocked: charging=false""]",0,high,0,Auto-labeled (high confidence)
DefaultState what=<*>,1,0.05,"[""DefaultState what=155652""]",0,high,0,Auto-labeled (high confidence)
battery changed pluggedType: <*>,1,0.05,"[""battery changed pluggedType: 0""]",0,high,0,Auto-labeled (high confidence)
ChargingSpeed  Wattage: <*> ST: <*> --> <*>,1,0.05,"[""ChargingSpeed  Wattage: -1 ST: 5000000 --> 7500000""]",0,high,0,Auto-labeled (high confidence)
handleBatteryUpdate,1,0.05,"[""handleBatteryUpdate""]",0,medium,0,
enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=null vibrate=[<*>] sound=null tick defaults=<*> flags=<*> color=<*> category=msg vis=PRIVATE),1,0.05,"[""enqueueNotificationInternal: pkg=com.tencent.mm id=4097 notification=Notification(pri=1 contentView=null vibrate=[] sound=null tick defaults=0x0 flags=0x101 color=0x00000000 category=msg vis=PRIVATE)""]",0,high,0,Auto-labeled (high confidence)
START u0 {flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>,1,0.05,"[""START u0 {flg=0x24000000 cmp=com.tencent.mm/.ui.LauncherUI (has extras)} from uid 10112 on display 0""]",0,high,0,Auto-labeled (high confidence)
startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { flg=<*> cmp=<*> (has extras) },1,0.05,"[""startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { flg=0x24000000 cmp=com.tencent.mm/.ui.LauncherUI (has extras) }""]",0,high,5,Auto-labeled (high confidence)
makeExpandedInvisible: mExpandedVisible=false,1,0.05,"[""makeExpandedInvisible: mExpandedVisible=false""]",0,high,0,Auto-labeled (high confidence)
